,Date,return
0,9-Feb-18,0.013904374631074967
1,8-Feb-18,-0.036159049244579244
2,7-Feb-18,-0.004718761796904447
3,6-Feb-18,0.016500383729854073
4,5-Feb-18,-0.03926267281105977
5,2-Feb-18,-0.021346963319302525
6,1-Feb-18,-0.0003606636210627956
7,31-Jan-18,0.00012023566189744983
8,30-Jan-18,-0.010234440080923446
9,29-Jan-18,-0.0065614470650823264
10,26-Jan-18,0.010271722902359004
11,25-Jan-18,0.00029868578255665135
12,24-Jan-18,-0.0010741138560688146
13,23-Jan-18,0.002452593168630779
14,22-Jan-18,0.0077159563566218115
15,19-Jan-18,0.005698696574719664
16,18-Jan-18,-0.0019966118102614505
17,17-Jan-18,0.008973811122642061
18,16-Jan-18,-0.004194528875379966
19,12-Jan-18,0.0059931506849313365
20,11-Jan-18,0.008200258955546103
21,10-Jan-18,-0.0014160817633295242
22,9-Jan-18,0.0017269026766990603
23,8-Jan-18,0.0019775058707205417
24,5-Jan-18,0.005842864246643487
25,4-Jan-18,0.004182011110417605
26,3-Jan-18,0.005270753592269584
27,2-Jan-18,0.0
