,Date,return
0,5-Feb-18,-0.03926267281105977
1,2-Feb-18,-0.021346963319302525
2,1-Feb-18,-0.0003606636210627956
3,31-Jan-18,0.00012023566189744983
4,30-Jan-18,-0.010234440080923446
5,29-Jan-18,-0.0065614470650823264
6,26-Jan-18,0.010271722902359004
7,25-Jan-18,0.00029868578255665135
8,24-Jan-18,-0.0010741138560688146
9,23-Jan-18,0.002452593168630779
10,22-Jan-18,0.0077159563566218115
11,19-Jan-18,0.005698696574719664
12,18-Jan-18,-0.0019966118102614505
13,17-Jan-18,0.008973811122642061
14,16-Jan-18,-0.004194528875379966
15,12-Jan-18,0.0059931506849313365
16,11-Jan-18,0.008200258955546103
17,10-Jan-18,-0.0014160817633295242
18,9-Jan-18,0.0017269026766990603
19,8-Jan-18,0.0019775058707205417
20,5-Jan-18,0.005842864246643487
21,4-Jan-18,0.004182011110417605
22,3-Jan-18,0.005270753592269584
23,2-Jan-18,0.007586773724473694
24,29-Dec-17,0.0
