Index,Symbol
0,ALK
1,ASC
2,AVH
3,AZUL
4,BSTI
5,BCO
6,BRS
7,CNI
8,CP
9,CGI
10,CEA
11,ZNH
12,VLRS
13,CPA
14,CMRE
15,DAC
16,DAL
17,DHT
18,DSX
19,DSX
20,LPG
21,ERA
22,EURN
23,FDX
24,FRO
25,GNK
26,GNRT
27,GWR
28,GSL
29,GOL
30,PAC
31,ASR
32,GSH
33,KSU
34,KSU
35,KNX
36,LTM
37,NVGS
38,NNA
39,NM
40,NMM
41,NAO
42,NSC
43,OSG
44,RRTS
45,SB
46,SNDR
47,SALT
48,SLT
49,STNG
52,CKH
53,SMHI
54,SSW
55,SSW
56,SFL
57,LUV
58,TK
59,TNP
60,UNP
61,UAL
62,UPS
63,USDP
64,ZTO
