<<<<<<< HEAD
,N_index,NYSE:WPX,NYSE:RRC,NYSE:SWN,NYSE:NFX,NYSE:KMI,NYSE:PXD
5-Feb-18,10.0,-0.08924838269084931,-0.1414200425726516,-0.21007146974685692,-0.1251231397537445,-0.10708419286547405,-0.08466119964467629
=======
,N_index,NI,ANF,ABBV,AHC,KMI,BCO
5-Feb-18,10.0,-0.02932761509451994,-0.09791989215697197,-0.11054293621160385,-0.0101523714640179,-0.10708419286547405,-0.042430607129705124
29-Jan-18,35.0,0.011210414268022127,-0.02528351384344028,0.1385077214719796,-0.020000666706669373,-0.048000868002371425,-0.04184224540063486
22-Jan-18,60.0,-0.004997927938056436,0.16071101347953248,0.059486664971185335,-1.0061396160665481e-16,0.0056194273034232784,0.047197807145068826
12-Jan-18,85.0,-0.02947409425211858,0.043880769026580294,-0.0076446140472008275,0.04040953833787658,0.029635649456510847,0.04703156820807417
5-Jan-18,110.0,-0.03058828346223496,0.003287674194191903,0.03338671077912397,0.010362787035546665,0.03435657284201589,0.012586698578312261
28-Dec-17,135.0,0.023754086008107175,0.018837122086444193,0.0038934475413194363,6.938893903907228e-18,0.030498621122395004,-0.015708774170817806
20-Dec-17,160.0,-0.057225185114970996,0.012946986366062438,0.000616142964655654,7.112366251504909e-17,-0.005054770661624164,-0.00683444723029711
13-Dec-17,185.0,-0.02133713738813146,4.5102810375396984e-17,0.030771658666753705,-0.020619287202735793,0.04234042032154595,0.005588341150049953
6-Dec-17,210.0,-0.006276557433927481,-0.002828856200477785,-0.014930358303520944,0.010256500167189288,0.020667992850165032,-0.011145626214916294
29-Nov-17,235.0,-0.0018385737850635069,0.061755204186720904,0.011968646809192707,0.010362787035546578,-0.006541801503939845,-0.010413570368467628
21-Nov-17,260.0,-0.013138875141835678,0.29653524898866634,-0.000739059316752411,0.021053409197832294,-0.032655962974052426,0.053830266476756365
14-Nov-17,285.0,0.003996372257973146,0.05654041092041957,0.008372684171823665,-0.07182573457125548,-0.03439865510254805,-0.015949301407677956
7-Nov-17,310.0,0.04086749974198704,-0.13875723505116896,0.04028556257772147,0.04040953833787675,-0.003872757260844289,0.03739958759938148
31-Oct-17,335.0,-0.011312337828727616,-0.05151664993328035,-0.01582972484881927,0.07490130817311769,-0.00879609849459334,-0.11938782117840901
24-Oct-17,360.0,0.00828317988961446,0.0802195266997243,-0.00522137594376363,-0.04348511193973885,-0.022193062410781193,-0.002911210207458525
17-Oct-17,385.0,0.0037878833169367743,-0.04054609439435002,0.010908802408761364,0.04348511193973873,-0.014350498727738789,0.022935436398883277
10-Oct-17,410.0,0.037900901376180886,-0.06343415879451793,0.01625512653206083,-0.032789822822991005,0.005291017634415455,-0.003562949137352534
3-Oct-17,435.0,-0.027217854334219752,0.005540180375615511,0.04971031982430083,7.979727989493313e-17,-0.03492666709092646,0.04982804698185192
26-Sep-17,460.0,-0.012578782206859946,0.026743324975510997,-0.011879944051744756,0.03278982282299091,-0.0020470836217248017,-0.007448824012990465
19-Sep-17,485.0,-0.014664673404247071,-0.0021375141733108397,-0.01585146905378093,1.8735013540549517e-16,0.010277582758240419,-0.0024706621585691294
12-Sep-17,510.0,-0.0029817390708825157,0.06772270746505007,0.15367595871699005,-0.0851578083403069,0.00051666237263999,0.023089949361304925
5-Sep-17,535.0,-0.008154233469603865,0.04040953833787672,0.025982480657480676,-0.010152371464018008,0.017727262975452865,0.041242958534049065
28-Aug-17,560.0,0.011509315833977123,0.3055515971510811,0.0363878500689772,0.06252035698133415,0.024495367446893422,0.011247224087347414
21-Aug-17,585.0,0.005241494590838107,-0.04421772947748656,-0.0016958737812304064,-0.07257069283483525,-0.02554689225461387,-0.007952328190494823
14-Aug-17,610.0,0.010566136037881774,-0.051190302472324783,-0.005632231165874027,0.01005033585350162,-0.05718760708463373,-0.002636784652303178
7-Aug-17,635.0,0.011446137937607556,0.03789087371139628,0.018564977325737766,-0.06831924397747713,-0.013800120436838668,-0.0285548278257036
31-Jul-17,660.0,-0.00115052745193808,0.05751715823841492,-0.0556394362729016,0.009478743954543708,0.004906781189275389,0.08544220222775503
24-Jul-17,685.0,0.010790085418114555,0.002155173247983262,0.016506752257321605,1.491862189340054e-16,0.03912234120888033,0.026837768936759685
17-Jul-17,710.0,0.02352127253069378,-0.03393750931758309,0.012039168452763824,-0.018868484304382507,0.024334620411234555,0.038676838173866794
10-Jul-17,735.0,-0.005932388369196639,-0.2601961984156866,-0.009422267296791088,-0.027651531330510022,-0.004184106522574067,0.0029806281381379966
30-Jun-17,760.0,-0.017588884161497155,0.012131163733089917,-0.0017912509095364603,-0.009049835519917792,0.019499959117340638,0.012012156448003353
23-Jun-17,785.0,-0.009639557966176507,-0.01933984533003347,0.022131879749928196,-2.7755575615628914e-17,-0.02106449659423477,0.0037835837796388015
16-Jun-17,810.0,0.011190547032425505,-0.015049789003999265,0.0196140455010821,0.018182319083190377,0.005748643999468315,0.01759127580509474
9-Jun-17,835.0,-0.022257250323097902,-0.053570573631559565,0.03535279056007915,-7.979727989493313e-17,0.006836734491704826,-0.005386700212625295
2-Jun-17,860.0,0.03161404373397884,-0.04587626423621919,0.013925507654909058,2.0816681711721685e-17,-0.024499531334743554,0.047141485614134185
25-May-17,885.0,0.04118111370271108,0.11210523473970244,0.010458602341408088,-4.85722573273506e-17,-0.0015436072012765334,0.03520625573461957
18-May-17,910.0,0.014802901881295696,-0.11565763634406992,0.005040872203245748,-0.044850566165351796,-0.03337013372010523,-0.0416216746908193
