,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
01/11/2017,57,-0.003026455,0.000874509,-0.010297756,-0.002204115,-0.002003193,-0.000523049
31/10/2017,58,-0.005352477,-0.002132727,0.000412762,-0.000661873,-0.001232666,-0.000228636
30/10/2017,59,-0.008011485,0.004699127,-0.012883997,0.000887422,-0.001886237,-0.000978508
27/10/2017,60,-0.010932711,-0.00473263,0.002009076,0.000155133,-0.000481213,0.00013034
26/10/2017,61,-0.00365126,0.001426146,-0.000938726,-0.006357145,-0.009742024,0.00068493
25/10/2017,62,-0.007807302,-0.012555514,-2.94E-03,-0.000999687,0.01555207,0.000489898
24/10/2017,63,-0.008448429,0.006050233,0.009687267,-0.010387168,-2.95E-05,-0.000163361
23/10/2017,64,-0.028429852,-0.004004565,-0.03249556,9.90E-04,-0.000811559,0.000850148
20/10/2017,65,0.004580242,0.009469137,0.006486874,0.004309974,0.002884214,-0.000948135
19/10/2017,66,0.008555971,-0.001673326,0.004508511,0.001744295,0.000965677,0.000359394
18/10/2017,67,-0.001312919,0.00237805,0.002076726,-0.003699994,-0.003436923,-0.001338049
17/10/2017,68,-0.00317209,-0.001893449,0.00078134,-0.000913286,-0.00214903,-0.000521049
16/10/2017,69,0.007122814,-0.001652105,-0.005826068,-0.000612325,-0.000909395,-0.000195232
13/10/2017,70,-0.001320905,-0.001944419,-0.019366657,-0.002386612,-0.003327943,0.000260329
12/10/2017,71,-0.000376665,0.000780046,0.005694935,0.003475786,0.005104502,0.000390787
11/10/2017,72,-0.005425244,0.000848021,-0.004216484,0.001201255,0.002745159,-0.00091129
10/10/2017,73,-0.00129945,0.004248312,-0.002215793,0.000560812,-0.000783992,0.000260173
09/10/2017,74,-0.017439512,-0.000319229,0.003947038,0.001151248,0.000783992,-0.000909926
06/10/2017,75,-0.002662758,-0.000520344,0.002609876,0.002587716,0.000963436,3.25E-05
05/10/2017,76,0.001063145,0.005282652,0.000374123,0.002159021,0.000742562,-0.002589525
04/10/2017,77,-0.005640267,0.000509715,-0.002115782,0.000222046,0.001638118,0.001454708
03/10/2017,78,0.004046524,-0.000900093,-0.009213211,0.002129069,0.001764151,0.001752106
02/10/2017,79,0.00694886,0.00303037,0.008840905,0.001453192,0.003278164,0.001367653
29/09/2017,80,-0.001076319,-0.000102492,0.000248168,0.001626626,0.004704637,0.001175711
28/09/2017,81,-0.002322914,-0.001721668,-0.002104924,-0.001402625,-0.0033743,0.000523562
27/09/2017,82,-0.009866749,0.002696324,0.001980822,0.000770883,0.003191233,-0.001079156
26/09/2017,83,-0.003124434,-0.001060048,0.013484185,0.003846768,0.00517069,-3.27E-05
25/09/2017,84,0.004170927,-0.003622188,0.000512291,-0.002385348,-0.000277741,0.001111815
22/09/2017,85,0.002100582,0.000694885,0.020869047,0.000746658,0.001746547,0.000786528
21/09/2017,86,0.007611633,0.000984911,0.007458793,0.000155128,0.000588916,3.28E-05
20/09/2017,87,0.002148205,0.00513033,0.013334041,0.003185289,0.002660049,-9.84E-05
19/09/2017,88,-0.004641087,-0.001065248,0.007827902,0.002636631,0.003698146,0.000557903
18/09/2017,89,0.009513754,0.007058479,0.028335212,0.002149622,0.014301818,0.079845099
15/09/2017,90,-0.005948098,0.006625749,0.005709407,0.001381363,0.002184847,0.006561365
14/09/2017,91,0.002693586,0.005883873,-0.002323679,0.001646096,-0.001647807,0.001686115
13/09/2017,92,0.003617634,0.002430205,-0.002772102,-0.005077002,-0.00366468,-0.002686656
12/09/2017,93,0.003464891,-1.81E-05,-0.0059462,-0.001071081,-0.000548657,0.000319922
11/09/2017,94,-0.001827072,0.003279624,0.002125178,0.002259498,0.002993751,0.00264839
08/09/2017,95,-0.003631246,0.004515848,-0.013778774,0.0007893,0.002573267,-0.000402311
07/09/2017,96,-0.015975035,0.00311707,0.014083221,0.001294685,0.000981198,0.000804995
06/09/2017,97,0.002797398,-0.004383316,-0.008743468,-0.001079172,-0.004560077,-0.008773924
05/09/2017,98,-0.006614633,-0.00605964,-0.012503838,1.44E-05,-0.001229518,-0.003382189
01/09/2017,99,0.010313777,0.001212431,0.004665175,-0.004574723,-0.005426344,-0.002811483
31/08/2017,100,0.004802814,-0.001447288,0.006497556,-0.001292185,0.001918759,0.003046597
30/08/2017,101,-0.002852519,-5.42E-05,0.017456086,-0.002601081,0.000464975,0.007392257
29/08/2017,102,-0.000532768,0.006018958,0.005141484,0.006432006,0.004547628,0.006345455
28/08/2017,103,-0.000354816,0.002368534,0.001727444,0.001160201,-0.002312017,0.000647778
25/08/2017,104,0.003382512,-0.005215659,-0.007642657,0.000286947,0.001275747,0.002397066
24/08/2017,105,-0.001605527,0.001184035,-0.000617993,-0.000344314,-0.00359156,0.00101971
23/08/2017,106,-0.003723307,-0.003017461,-0.003842659,-0.002801725,-0.00327566,-0.002808606
22/08/2017,107,0.001946322,0.007435886,0.011317255,0.004180621,0.008227833,0.006293641
21/08/2017,108,-0.001062711,-0.000165814,0.008886131,0.003872752,0.000146033,0.001608424
18/08/2017,109,-0.003523707,0.000331691,0.00112366,-0.003210476,-0.00084307,-0.002102127
17/08/2017,110,-0.006098518,-0.003671305,-0.00479535,-0.006265416,-0.003002271,-0.006570143
16/08/2017,111,-0.000691552,-0.002878546,0.000636329,-0.000567705,-0.001845913,-0.002100973
15/08/2017,112,-0.003783976,0.003683575,0.004480602,-0.001952906,-0.000416252,-0.003732351
14/08/2017,113,0.002748708,0.004177091,1.77E-03,0.005441806,0.003405745,0.008473914
11/08/2017,114,-0.00171998,0.003713846,0.00097013,0.000715477,-0.00204344,0.003025885
10/08/2017,115,-0.006981555,-0.002658632,-0.007541974,-0.002812178,-0.004074162,-0.003962084
09/08/2017,116,0.002541227,-0.009514694,0.005281701,0.007346993,0.005247562,0.006885251
08/08/2017,117,-0.001187757,-0.001321724,-0.001446846,0.004290261,0.000386469,-0.00550059
07/08/2017,118,-0.002534307,0.004579789,-0.002560329,0.000219285,0.000548087,-0.000366958
04/08/2017,119,0.000337054,-0.000985457,0.057946364,0.001728917,0.000742632,0.00040775
03/08/2017,120,0.004065189,0.0005472,0.00531983,0.001647397,0.003162293,0.011826706
02/08/2017,121,0.001363563,-0.002710995,-0.002943134,0.003031607,0.003579168,0.002606868
01/08/2017,122,-0.002892471,-0.005443397,4.42E-03,0.00077237,0.002485122,0.003386989
31/07/2017,123,0.001358764,0.002136777,-0.008981299,0.002564592,-0.001598035,-0.001823789
28/07/2017,124,-0.004400527,0.000486282,0.008241129,0.003423088,0.005527429,0.003228654
27/07/2017,125,0.003381056,0.013823164,-0.002580705,-0.002584825,-0.005132586,-0.004538744
26/07/2017,126,0.002553179,0.040916701,-0.004024662,3.00E-05,-0.000312614,-0.003990354
25/07/2017,127,0.000170747,0.000572732,0.001824769,-0.000673778,-0.002001966,0.002642136
24/07/2017,128,-0.008121053,8.19E-05,0.009801399,0.001738979,-4.91E-05,-4.21E-05
21/07/2017,129,-0.012881161,0.003824596,0.003945597,-0.000825384,0.000868475,0.003590104
20/07/2017,130,-0.004049018,-0.001237425,0.003410707,-0.001496691,-0.000245971,4.24E-05
19/07/2017,131,0.000806789,0.005471238,0.006130416,0.005836207,0.001116186,0.003919883
18/07/2017,132,0.001132029,-0.001582131,-0.002500928,-0.00256676,-0.000935821,-0.001751276
17/07/2017,133,0.000648201,0.001019398,0.001922511,0.000542284,-3.28E-05,-0.000213088
14/07/2017,134,-0.000162141,0.004775047,0.008365169,0.002069908,0.001593622,0.004841492
13/07/2017,135,0.003417737,-0.000442009,-0.005077242,0.000606218,-0.000164562,-0.000903839
12/07/2017,136,0.003280185,0.000357782,0.007440755,-9.10E-05,0.00217725,0.000258048
11/07/2017,137,0.005633811,0.004891065,0.004765968,0.001290759,0.001424406,-0.000730738
10/07/2017,138,-0.001830713,0.003398872,-0.000797969,0.00056306,-0.000348252,-0.005165913
07/07/2017,139,-0.002649155,0.001914189,0.009266375,0.006505027,0.005085571,0.007232346
06/07/2017,140,-0.016836483,-0.00071074,-0.011254906,-0.002220198,-0.002241654,-0.002838817
05/07/2017,141,-0.001585018,0.006985307,0.0120701,0.005385036,0.00432638,0.006522423
03/07/2017,142,0.007017765,0.001840884,0.010112326,0.00204455,0.001671632,0.006268503
30/06/2017,143,-0.00016076,0.000637359,0.000835986,0.001378863,0.003107028,0.007347137
29/06/2017,144,-0.000963315,-0.004724919,-0.002711091,-0.005132808,-0.004542658,-0.008889769
28/06/2017,145,-0.002079882,0.001591103,0.007338001,0.003409912,0.003776571,0.007544647
27/06/2017,146,-0.006337865,-0.002373616,0.00339626,-0.002913327,-0.001053289,-0.004010546
26/06/2017,147,0.000629641,-0.004859018,-0.002549681,-0.001457105,-0.002453409,-0.00238867
23/06/2017,148,0.000315163,0.006033316,0.004471814,0.0003251,0.000861344,-0.001541224
22/06/2017,149,-0.003610638,0.000588342,-0.002560958,-0.003946617,-0.005710285,-0.008703588
21/06/2017,150,-5.44E-03,0.001835511,-0.006756297,0.000153493,0.000216959,0.000129274
20/06/2017,151,-0.010222756,-0.00163922,-0.006239971,0.000906718,-0.001849021,-0.001505802
19/06/2017,152,-0.00300551,0.005797707,0.003941558,0.001834583,0.004477819,0.00701398
16/06/2017,153,0.000899471,0.002194251,-0.002493564,0.000278176,-8.40E-05,-0.000392652
15/06/2017,154,0.003767979,0.006875754,-0.007192171,0.000975021,-0.001709361,0.000479956
14/06/2017,155,0.003648278,0.00292196,-0.000203751,0.00301627,0.003476054,0.000917755
13/06/2017,156,-0.007416256,0.002484359,-0.004458499,0.002299557,0.002705999,0.009598792
12/06/2017,157,0.015272125,-6.86E-05,-0.004812176,-0.000172498,-0.00118595,-0.004316945
09/06/2017,158,0.005474701,0.0002286,0.001198055,-0.000970981,0.000931545,-0.005893898
08/06/2017,159,-0.001414385,0.004204773,0.009500887,0.000375606,0.002499617,-0.000654814
07/06/2017,160,-0.00390485,0.003128185,-0.001020669,0.000783558,0.00253124,-0.00295617
06/06/2017,161,-0.000776774,-0.005086286,-0.013648085,-0.005068035,-0.004131292,-0.004482635
05/06/2017,162,0.001554941,-0.002932112,-0.002953726,-0.002519717,-0.004916307,-0.012843886
02/06/2017,163,0.002499543,0.006694859,0.003151357,0.001234844,0.00153143,0.003931051
01/06/2017,164,0.005359782,-0.000718129,0.001385942,-0.000262698,-0.002705789,0.007286422
31/05/2017,165,0.000317351,0.001739453,0.003984381,0.001609589,0.00507243,0.005027259
30/05/2017,166,-0.001426256,0.000674461,0.000200182,-0.005485184,-0.001320148,-0.004086394
26/05/2017,167,-0.000632391,-0.001115782,-0.002993082,0.002441286,0.000794993,-0.002561209
25/05/2017,168,-0.005338466,0.00424593,0.00580536,0.003105925,0.005348899,0.004879284
24/05/2017,169,-0.006966199,0.004145816,0.004049395,0.002628749,0.004704623,0.008738789
23/05/2017,170,0.001538416,-0.000425825,0.001426256,0.002080026,0.002084201,0.002069016
22/05/2017,171,0.002008123,0.006935893,0.012421089,0.006698356,-0.000747989,0.005193751
19/05/2017,172,0.008916137,0.008148717,0.008268487,0.008796993,0.005245589,0.004082968
18/05/2017,173,0.001107693,-0.003365317,-0.001922133,-0.003108129,0.000986233,-0.001170484
17/05/2017,174,-0.009868974,-0.009419614,-0.006556311,-0.003870127,-0.001864909,-0.004872983
16/05/2017,175,-0.002162979,0.000737524,-0.002928779,-0.00111767,-0.001524672,0.001380339
15/05/2017,176,-0.00138482,-0.00204296,0.010338321,0.001741622,0.001401799,0.002145993
12/05/2017,177,-0.009120975,-0.001632199,-0.008038802,-0.001326823,-0.000122838,-0.011193662
11/05/2017,178,0.002564887,0.001798127,-0.003132698,0.00055901,-0.001033972,0.005892705
10/05/2017,179,-0.003466537,-0.008754483,-0.004760006,-0.003390891,-0.002408874,-0.001370364
09/05/2017,180,-0.002096598,0.002072897,-0.018140226,0.002177955,0.000609683,-0.000573384
08/05/2017,181,-0.00223518,0.002364437,-0.001773035,-0.000843862,0.000401115,-0.00044055
05/05/2017,182,0.00029736,0.004578022,0.001181219,0.004027045,0.005548818,0.001499698
04/05/2017,183,-0.000445964,-0.000758469,0.000789268,0.001463437,0.00042434,-0.005967968
03/05/2017,184,0.0035806,-0.000118391,-0.003736312,0.000177233,0.000318527,0.003412769
02/05/2017,185,0.000749689,0.002493018,-0.003315986,0.001711603,0.001756089,0.00233433
01/05/2017,186,-0.000749689,-0.00577144,-0.001164329,-0.001647137,-0.002869915,-0.002904991
28/04/2017,187,-0.001346187,0.003799585,-0.00863437,-0.002715404,-0.004287107,0.001318042
27/04/2017,188,-0.00267992,0.00359405,-0.001517188,0.001267218,0.000594852,0.000352154
26/04/2017,189,-0.002810977,-0.004280907,-0.004520018,0.000530441,-0.000122536,-0.001845633
25/04/2017,190,-0.001472186,0.003445197,0.005657412,-0.009843465,-0.001764185,0.002330313
24/04/2017,191,0,0.004026156,0.01095645,0.0049336,0.004926153,0.005456757
21/04/2017,192,-0.010454936,0.002608093,0.001951012,0.00197646,0.002617198,-0.002892193
20/04/2017,193,0.003891166,0.00218544,-0.004280715,0.003561126,0.001973302,0.005175013
19/04/2017,194,0.002322436,0.001340981,0.010980491,0.001371262,0.000998953,-0.001389027
18/04/2017,195,0.002920619,-0.002847683,0.004993093,-0.001773752,0.000142895,0.000940468
17/04/2017,196,0.00117377,0.00832758,0.008519829,0.003035907,0.005211956,0.00705083
13/04/2017,197,-0.003074405,-0.001062057,-0.003265387,-0.000825671,0.001521427,-0.005343837
12/04/2017,198,-0.003921094,-0.006172469,-0.007858013,-0.002837377,-0.00305556,-0.004477764
11/04/2017,199,0.000433933,0.002463362,0,0.00199713,0.003091849,-0.001911334
10/04/2017,200,0.00028953,-0.003143808,0.005020801,-0.00193285,0.000962778,-0.002961462
07/04/2017,201,0.000869749,0.003608778,0.003040581,0.005043414,0.003909298,0.010432128
06/04/2017,202,-0.000580026,0.000710653,0.004703965,0.000211419,0.001047224,0.000270813
05/04/2017,203,-0.000723945,-0.003955039,-0.009960853,-0.004176719,-0.002823557,-0.004357581
04/04/2017,204,0.002030095,0.005010911,0.009344395,0.001420108,-0.000310569,4.47E-05
03/04/2017,205,0.001164329,-0.000515979,-0.011149362,0.001749231,-5.48E-05,-0.003783271
31/03/2017,206,-0.001018959,-0.002741582,0.004021274,-0.004745377,-0.002222019,-0.005766906
30/03/2017,207,0.002771326,0.000854887,-0.002216307,0.003707945,0.004639045,0.004086164
29/03/2017,208,0.000878842,0.000660636,0.000603327,-0.001422434,-0.001228505,-0.002025919
28/03/2017,209,0.002647249,0.003096324,0.004043739,0.003174539,0.002497324,0.006017216
27/03/2017,210,-0.004110999,0.00069108,-0.000811766,-0.00042245,-0.001929343,-0.001245672
24/03/2017,211,0.001463751,-0.003542469,-4.64E-03,-0.003364885,-0.004777123,-0.005122915
23/03/2017,212,0.001321607,0.000686554,0.003828183,0.000128938,-0.002963739,-0.002713529
22/03/2017,213,0.002063861,0.002510237,-0.003828183,0.000677552,0.002564988,0.001135868
21/03/2017,214,-0.005141378,-0.008384277,-0.016338406,-0.004864522,-0.005884132,-0.006124572
20/03/2017,215,-0.002039629,-0.001715483,-0.006709605,7.98E-05,-0.002246171,-0.006081935
17/03/2017,216,0.001893623,0.004630385,0.010201048,0.006499416,0.007116949,0.00393068
16/03/2017,217,-0.000145957,-0.001265527,0.005487548,-0.002424517,-0.006387326,-0.001157262
15/03/2017,218,0.003222436,-4.86E-05,0.002769997,0.002327276,0.000124692,0.006034359
14/03/2017,219,-4.68E-03,-0.00077687,-0.00355819,-0.001924128,-0.001156482,0.001391135
13/03/2017,220,-0.006066067,0.000849773,0.001775451,0.000855912,0.001477284,0.001177246
10/03/2017,221,0.008984724,-0.004521046,-0.002955066,-3.23E-05,-0.000943906,0.000567962
09/03/2017,222,-0.002045117,-0.002804926,0.003152787,0.001554523,0.000979565,0.011159077
08/03/2017,223,-0.000873539,-0.000668586,-0.000790345,-0.002136038,-0.000374277,0.010257615
07/03/2017,224,-0.002031451,0.002608527,0.00837124,0.002136038,0.0015348,-0.000780074
06/03/2017,225,-0.001733713,-0.002990115,0.00161298,-6.49E-05,-1.79E-05,0.001239596
03/03/2017,226,-0.001008145,-0.001926659,-0.001814182,0.001250704,-0.000250211,0.001150937
02/03/2017,227,0,-0.002177987,0.036054775,-0.002255153,-0.005080149,-0.001840039
01/03/2017,228,0.005501137,0.008778262,0.010620058,0.002922585,-0.00204366,0.010171078
28/02/2017,229,-0.00188982,0.001932026,-0.010838571,-0.00450554,-0.002645955,-0.005092093
27/02/2017,230,-0.003611317,0.004843528,0.013985646,0.005451467,0.006246417,0.007778896
24/02/2017,231,0.002452425,0.001421908,0.003624805,0.001881659,0.002114137,0.00676663
23/02/2017,232,-0.004461722,0.003699084,-0.003624805,-0.001751025,0.001570042,-0.006624758
22/02/2017,233,-0.002712119,-0.000495035,-0.00180112,0.000424834,-0.002032834,0.002847221
21/02/2017,234,0.002139737,0.007108088,-0.000224616,0.000507076,0.000961735,0.008169994
17/02/2017,235,-0.001142505,0.004804191,0.001574755,3.27E-05,8.92E-05,0.000728316
16/02/2017,236,0.001428602,0.003856335,-0.000675594,0.00307167,0.003473515,0.001265314
15/02/2017,237,0.001002825,0.002057053,0.001352241,0.001486124,0.00355589,-0.000194904
14/02/2017,238,0.003455942,0.001213078,0,0.000347495,0.000979817,0.000487424
13/02/2017,239,0.004651123,0.004677423,0.000677703,0.002989991,0.00517143,-9.75E-05
10/02/2017,240,0.00190384,0.005124711,0.0050024,0.00393484,0.002599745,0.007078641
09/02/2017,241,0.002354703,0.001244284,0.006915663,0.002462701,0.004498575,0.001738074
08/02/2017,242,-0.001914168,-0.007073828,-0.000464486,0.000626333,-0.001045144,-0.004603084
07/02/2017,243,-0.001466717,0.006623356,0.003028078,0.001799378,0.000298356,0.000196981
06/02/2017,244,-0.000585303,0.004204857,-0.00023368,0.001448303,0.002732009,0.000197071
03/02/2017,245,0.000292553,0.000374553,0.010163546,0.004270687,0.002843768,0.006503989
02/02/2017,246,-0.000146301,-0.004552925,0.004809512,0.001848175,0.001950527,-0.002593406
