,N_index,GE,BOE,AJRD,LCKM,NRPGRM,ORB
19/10/2017,66,0.019896194,-0.003845562,0.010435301,0.004024464,0.002226027,0.000827877
18/10/2017,67,-0.003018542,0.005490681,0.004793289,-0.008483363,-0.007882577,-0.00307623
17/10/2017,68,-0.007277397,-0.004350337,0.00180072,-0.002100709,-0.004936101,-0.001199041
16/10/2017,69,0.016536118,-0.003796886,-0.013325437,-0.001408936,-0.002091768,-0.000449438
13/10/2017,70,-0.003036876,-0.004467183,-0.043613707,-0.005480305,-0.007633588,0.00059961
12/10/2017,71,-0.000866927,0.001797736,0.013199426,0.008035406,0.011822894,0.000900225
11/10/2017,72,-0.012414384,0.001954547,-0.009661836,0.002769822,0.006340981,-0.002096122
10/10/2017,73,-0.002987623,0.009830102,-0.005089059,0.001292153,-0.00180358,0.000599251
09/10/2017,74,-0.039360394,-0.000734782,0.009129815,0.002654364,0.001806839,-0.002092988
06/10/2017,75,-0.006112469,-0.00119742,0.006027555,0.005976222,0.002220856,7.48E-05
05/10/2017,76,0.00245098,0.012238036,0.000861821,0.004983707,0.001711274,-0.005944861
04/10/2017,77,-0.012903226,0.001174352,-0.00485992,0.000511411,0.00377903,0.003355204
03/10/2017,78,0.009361009,-0.002070393,-0.020990764,0.0049144,0.004070369,0.004042521
02/10/2017,79,0.016129032,0.007002085,0.020565553,0.003351703,0.007576811,0.0031541
29/09/2017,80,-0.002475248,-0.00023597,0.000571592,0.003752467,0.010891715,0.002710843
28/09/2017,81,-0.005334428,-0.00395644,-0.00483504,-0.003224454,-0.007739506,0.001206273
27/09/2017,82,-0.022462896,0.006227828,0.004571429,0.001776601,0.007375149,-0.002481763
26/09/2017,83,-0.007168459,-0.002437874,0.031535514,0.008896855,0.011977112,-7.52E-05
25/09/2017,84,0.009650181,-0.008305713,0.001180289,-0.00547741,-0.000639318,0.002563329
22/09/2017,85,0.004848485,0.001601312,0.049226006,0.001720723,0.00402967,0.001812689
21/09/2017,86,0.017680921,0.002270414,0.017322835,0.000357259,0.001356949,7.55E-05
20/09/2017,87,0.004958678,0.011883071,0.031178954,0.007361361,0.006143786,-0.000226552
19/09/2017,88,-0.010629599,-0.002449818,0.018187831,0.006089533,0.008551654,0.001285444
18/09/2017,89,0.022147931,0.016385542,0.067419696,0.004961958,0.033479384,0.201835696
15/09/2017,90,-0.013602638,0.015373323,0.01323319,0.00318577,0.005043472,0.015222807
14/09/2017,91,0.006221485,0.013640309,-0.005336179,0.003797468,-0.003787027,0.003889969
13/09/2017,92,0.008364701,0.005611439,-0.006362672,-0.011622164,-0.008402736,-0.006167158
12/09/2017,93,0.008010118,-4.16E-05,-0.013598326,-0.002463216,-0.001262532,0.00073692
