,N_index,NYSE:EGL Open,NYSE:EGL High,NYSE:EGL Low,NYSE:EGL Close,NYSE:BA Open,NYSE:BA High,NYSE:BA Low,NYSE:BA Close,NYSE:TGI Open,NYSE:TGI High,NYSE:TGI Low,NYSE:TGI Close,NYSE:LMT Open,NYSE:LMT High,NYSE:LMT Low,NYSE:LMT Close,NYSE:NOC Open,NYSE:NOC High,NYSE:NOC Low,NYSE:NOC Close,NYSE:OA Open,NYSE:OA High,NYSE:OA Low,NYSE:OA Close
5-Dec-17,17,27.97,28.26,27.63,27.87,279.01,279.44,274.86,275.54,28.75,28.75,26.7,27.25,314.50,314.5,310.07,310.14,301.53,301.84,297.52,297.75,132.78,132.78,132.48,132.49
4-Dec-17,18,28.70,29.02,28.17,28.2,276.16,281.83,276.00,277.97,30.10,30.20,28.45,28.6,315.94,316.52,311.61,311.78,301.73,303.10,300.5,300.56,132.47,132.77,132.36,132.77
1-Dec-17,19,29.12,29.43,27.16,28.15,277.51,278.73,270.60,271.38,30.85,30.85,28.95,29.5,319.06,319.63,311.13,313.57,307.00,307.81,297.0,299.63,132.20,132.60,132.07,132.28
30-Nov-17,20,29.25,29.61,29.04,29.19,269.91,277.04,269.43,276.8,31.20,31.90,30.8,30.9,319.62,320.94,318.48,319.12,307.00,309.76,304.78,307.4,132.30,132.39,131.94,131.94
29-Nov-17,21,29.19,29.74,28.8,29.17,269.48,269.68,266.15,269.3,30.80,31.80,30.6,30.9,319.50,321.21,318.33,320.76,308.14,308.33,306.05,306.69,132.30,132.37,131.91,132.25
28-Nov-17,22,28.59,29.14,28.36,28.91,267.00,268.01,265.23,267.99,30.25,31.15,29.85,30.9,316.78,319.43,316.17,319.01,305.22,309.24,304.82,307.9,132.40,132.40,132.15,132.25
27-Nov-17,23,28.42,28.62,27.79,28.38,265.38,266.84,264.72,265.58,30.00,30.25,29.75,30.1,316.00,316.89,315.04,316.7,302.89,304.25,302.08,303.63,132.45,132.47,132.28,132.3
24-Nov-17,24,28.58,28.58,28.09,28.35,265.26,266.57,264.53,265.88,30.00,30.15,29.45,30.05,315.09,316.23,315.02,315.82,302.82,303.90,302.19,302.72,132.26,132.45,132.26,132.45
22-Nov-17,25,28.54,29.02,28.43,28.45,267.00,267.48,264.53,265.15,30.20,30.40,29.9,30.0,316.31,316.86,314.35,314.87,303.24,303.62,300.3,302.02,132.35,132.46,132.19,132.35
21-Nov-17,26,28.30,29.07,28.3,28.55,266.24,267.00,264.71,266.99,30.25,30.60,30.0,30.2,315.24,317.62,314.61,316.94,302.14,304.93,301.09,304.31,132.40,132.76,132.29,132.33
